dt,"[7731] Penn Pavilion, Student Affairs"
2017-01-01,935882.0892282004
2017-01-02,919218.8225020998
2017-01-03,978059.0636182998
2017-01-04,781662.8278767002
2017-01-05,992741.0595577001
2017-01-06,984588.8290848003
2017-01-07,974445.8232827003
2017-01-08,708880.1975119001
2017-01-09,470194.5112348
2017-01-10,268493.65922699997
2017-01-11,182806.85023056998
2017-01-12,138958.03977287
2017-01-13,110614.05017209997
2017-01-14,136571.40974865
2017-01-15,145760.82107096998
2017-01-16,149741.02989364997
2017-01-17,148370.96026957
2017-01-18,86175.84000632001
2017-01-19,62547.48001483401
2017-01-20,126960.80974935999
2017-01-21,118159.62916968002
2017-01-22,116137.95028531001
2017-01-23,124000.80963994
2017-01-24,148074.06076398
2017-01-25,135473.44039034
2017-01-26,87018.97048974996
2017-01-27,137982.39927285005
2017-01-28,188458.11933197998
2017-01-29,170376.90996113
2017-01-30,179941.44950214005
2017-01-31,181338.87031360998
2017-02-01,521027.5301951
2017-02-02,890400.5909281999
2017-02-03,859702.8139428
2017-02-04,869740.5414523999
2017-02-05,814650.3229273
2017-02-06,758673.9102495003
2017-02-07,684649.7436172898
2017-02-08,619929.0174943398
2017-02-09,712691.3817194699
2017-02-10,833742.1719141004
2017-02-11,756017.4739663999
2017-02-12,545043.8684059199
2017-02-13,768662.13439549
2017-02-14,946441.3409035997
2017-02-15,853251.769293
2017-02-16,950580.5666909
2017-02-17,877789.0761495003
2017-02-18,825567.3891769003
2017-02-19,701453.6827413896
2017-02-20,708365.1266824602
2017-02-21,768351.5375678
2017-02-22,724437.3793436001
2017-02-23,733435.24850605
2017-02-24,735247.1611960997
2017-02-25,614069.6486595001
2017-02-26,898132.7813242
2017-02-27,909088.9063739002
2017-02-28,804290.1307184999
2017-03-01,332060.2392426001
2017-03-02,754302.66139848
2017-03-03,933624.8017502
2017-03-04,981457.7104812
2017-03-05,949051.7607775002
2017-03-06,908057.7599283002
2017-03-07,740164.1626315
2017-03-08,561001.6765594699
2017-03-09,740555.79109389
2017-03-10,682803.6383346599
2017-03-11,832457.0332545599
2017-03-12,710900.8203489002
2017-03-13,758758.9404464001
2017-03-14,223545.16999706003
2017-03-15,235201.49960354
2017-03-16,332027.29052802996
2017-03-17,799201.2674958003
2017-03-18,732559.8099763999
2017-03-19,745151.9738317898
2017-03-20,738511.6890789998
2017-03-21,667690.6903817899
2017-03-22,460991.08796377
2017-03-23,730918.6853821902
2017-03-24,751171.8389122498
2017-03-25,558322.7785441501
2017-03-26,462081.32963856
2017-03-27,129434.61051124
2017-03-28,539201.5189163999
2017-03-29,576862.8228937
2017-03-30,595227.24296909
2017-03-31,534492.4079730301
2017-04-01,625108.2811750402
2017-04-02,534891.95987543
2017-04-03,136580.29023567
2017-04-04,396075.2495960799
2017-04-05,150524.279800139
2017-04-06,391723.33921510004
2017-04-07,370911.07036086003
2017-04-08,428832.05931239994
2017-04-09,432650.48912925
2017-04-10,373548.70823255985
2017-04-11,362819.08974593994
2017-04-12,330605.37761464
2017-04-13,253281.59982164996
2017-04-14,337940.44140711013
2017-04-15,354576.27991070005
2017-04-16,322263.79020849
2017-04-17,303311.9801728199
2017-04-18,397439.54912465
2017-04-19,381051.1912000601
2017-04-20,402260.7807954102
2017-04-21,369725.0884774601
2017-04-22,469162.0015132801
2017-04-23,561234.6669838
2017-04-24,593093.5777150999
2017-04-25,569546.1399695
2017-04-26,351569.50975108
2017-04-27,291987.4997635601
2017-04-28,328046.99859707
2017-04-29,366692.1799140299
2017-04-30,392007.21061231004
2017-05-01,376104.8306089799
2017-05-02,370438.30827140994
2017-05-03,259581.44104422
2017-05-04,476560.9016255899
2017-05-05,353742.17015446
2017-05-06,556909.3505769401
2017-05-07,651199.9190573499
2017-05-08,678826.7489061801
2017-05-09,658022.05920865
2017-05-10,548398.0406839001
2017-05-11,320927.95718377986
2017-05-12,511745.9120788901
2017-05-13,571448.31753796
2017-05-14,592835.52141555
2017-05-15,537479.0509511001
2017-05-16,414553.21023140015
2017-05-17,298342.76887244993
2017-05-18,297709.7798011899
2017-05-19,305489.94020868005
2017-05-20,308832.2708809601
2017-05-21,377756.8593790899
2017-05-22,375766.19030517
2017-05-23,382305.7698233801
2017-05-24,407053.39956535003
2017-05-25,397108.49921935005
2017-05-26,378720.95977947995
2017-05-27,381582.16954134003
2017-05-28,365663.68977706
2017-05-29,366364.27912346006
2017-05-30,370551.9706966401
2017-05-31,356875.0717248201
2017-06-01,356736.85760468
2017-06-02,498016.8800006001
2017-06-03,309786.10856706
2017-06-04,333574.71116499003
2017-06-05,386207.05984472
2017-06-06,383814.3021243098
2017-06-07,325301.46148158
2017-06-08,357745.60976622015
2017-06-09,548645.8396608001
2017-06-10,600803.0600021001
2017-06-11,597790.5205472998
2017-06-12,507055.3784735001
2017-06-13,374726.7284754699
2017-06-14,388111.24018298
2017-06-15,353316.4198629701
2017-06-16,367825.60081325995
2017-06-17,413326.89000065
2017-06-18,417813.7317755
2017-06-19,362280.7508456601
2017-06-20,379004.8193274099
2017-06-21,486995.1082901699
2017-06-22,633929.5425064001
2017-06-23,369206.99226136
2017-06-24,347296.7210371
2017-06-25,357879.77123865
2017-06-26,446142.80897053005
2017-06-27,641670.7815628999
2017-06-28,629685.7215836
2017-06-29,624908.2010437001
2017-06-30,606335.8499955001
2017-07-01,631828.0590884
2017-07-02,582860.5670081001
2017-07-03,610738.0630869
2017-07-04,616146.0086020998
2017-07-05,629604.7763460001
2017-07-06,608686.6510872002
2017-07-07,587311.6620157998
2017-07-08,599511.1294380999
2017-07-09,646402.3187351
2017-07-10,667660.9107145999
2017-07-11,649631.8700300998
2017-07-12,622703.6999091
2017-07-13,514068.4367667
2017-07-14,353673.15274544986
2017-07-15,349690.1520162801
2017-07-16,424876.48946701986
2017-07-17,433094.0780812501
2017-07-18,363340.3388163899
2017-07-19,391856.12009774003
2017-07-20,405057.1288403
2017-07-21,400510.8496767701
2017-07-22,420502.5273496999
2017-07-23,418042.1483937298
2017-07-24,426996.13960431004
2017-07-25,363369.20890125993
2017-07-26,356127.72090166
2017-07-27,365201.7691150499
2017-07-28,382565.1412041401
2017-07-29,403271.47974678
2017-07-30,383592.69049817
2017-07-31,363425.56021982996
2017-08-01,390200.36047266994
2017-08-02,391327.29015176004
2017-08-03,364208.48199588
2017-08-04,390966.77977639996
2017-08-05,405746.7799072
2017-08-06,376046.80985276005
2017-08-07,421788.5795100702
2017-08-08,371286.25900089013
2017-08-09,352241.1583072199
2017-08-10,366354.37903197005
2017-08-11,369663.58117996005
2017-08-12,392207.2807608901
2017-08-13,425919.8798626401
2017-08-14,435553.9083190002
2017-08-15,541902.3002780402
2017-08-16,436010.44107907003
2017-08-17,377108.14044950984
2017-08-18,393874.6393765901
2017-08-19,466363.93131459993
2017-08-20,441543.529847
2017-08-21,380862.2011478401
2017-08-22,383651.85769892996
2017-08-23,378523.11773755995
