dt,"[7731] Penn Pavilion, Student Affairs"
1/1/2017,16916.80078
1/2/2017,17162.80078
1/3/2017,17219.80078
1/4/2017,14578.59961
1/5/2017,18318.5
1/6/2017,18426.59961
1/7/2017,18898.69922
1/8/2017,15755.0
1/9/2017,8203.870117
1/10/2017,4806.169922
1/11/2017,3599.9799799999996
1/12/2017,2364.459961
1/13/2017,2055.01001
1/14/2017,2837.909912
1/15/2017,2900.149902
1/16/2017,3046.060059
1/17/2017,2594.8798829999996
1/18/2017,1893.069946
1/19/2017,2592.0749877
1/20/2017,2501.0229980000004
1/21/2017,2436.570068
1/22/2017,2392.820068
1/23/2017,2561.830078
1/24/2017,2806.159912
1/25/2017,2451.300049
1/26/2017,1927.390015
1/27/2017,2813.149902
1/28/2017,3517.73999
1/29/2017,3283.189941
1/30/2017,2790.5
1/31/2017,6488.450195
2/1/2017,11260.0
2/2/2017,15085.09961
2/3/2017,14844.40039
2/4/2017,14961.2002
2/5/2017,13414.40039
2/6/2017,11755.7998
2/7/2017,10876.2002
2/8/2017,9795.200195
2/9/2017,12690.40039
2/10/2017,14071.7002
2/11/2017,11985.2002
2/12/2017,8479.349609
2/13/2017,13705.7998
2/14/2017,15478.7002
2/15/2017,14751.0
2/16/2017,16440.5
2/17/2017,13797.0
2/18/2017,12163.09961
2/19/2017,10830.7002
2/20/2017,11139.2998
2/21/2017,12529.2998
2/22/2017,11428.0
2/23/2017,11824.2002
2/24/2017,11118.7002
2/25/2017,10316.2002
2/26/2017,15449.2002
2/27/2017,14593.0
2/28/2017,12490.7002
3/1/2017,6961.359863
3/2/2017,13224.7998
3/3/2017,17044.40039
3/4/2017,16511.80078
3/5/2017,16124.7998
3/6/2017,14294.90039
3/7/2017,10734.09961
3/8/2017,9361.280273
3/9/2017,11076.0
3/10/2017,11440.7998
3/11/2017,13919.59961
3/12/2017,12450.09961
3/13/2017,11270.2998
3/14/2017,11596.3059079
3/15/2017,11547.1158689
3/16/2017,7797.060059
3/17/2017,12689.5
3/18/2017,11699.5
3/19/2017,12075.7002
3/20/2017,11544.5
3/21/2017,10584.09961
3/22/2017,7441.709961
3/23/2017,11519.59961
3/24/2017,11799.7002
3/25/2017,8923.019531
3/26/2017,6163.850098
3/27/2017,3950.6201170000004
3/28/2017,9138.379883
3/29/2017,9774.009766
3/30/2017,9091.19043
3/31/2017,9105.889648
4/1/2017,9612.139648
4/2/2017,7199.759765999999
4/3/2017,4132.470215
4/4/2017,7190.629883
4/5/2017,4873.459961
4/6/2017,7586.330078
4/7/2017,7291.629883
4/8/2017,8037.419922
4/9/2017,8291.089844
4/10/2017,7019.419922
4/11/2017,6993.220215
4/12/2017,6828.040039
4/13/2017,7043.6530273
4/14/2017,6432.620117
4/15/2017,6587.160156
4/16/2017,5998.240234000001
4/17/2017,6642.859863000001
4/18/2017,7606.459961
4/19/2017,7740.640137
4/20/2017,7703.450195
4/21/2017,8086.049805
4/22/2017,9824.950195
4/23/2017,7769.292040999999
4/24/2017,7778.2540527
4/25/2017,9949.019531
4/26/2017,7152.620117
4/27/2017,5619.27002
4/28/2017,6581.740234000001
4/29/2017,7428.720215
4/30/2017,7696.080078
5/1/2017,7287.72998
5/2/2017,6983.549805
5/3/2017,4848.299805
5/4/2017,8295.469727
5/5/2017,6894.689941
5/6/2017,9277.80957
5/7/2017,10563.5
5/8/2017,10972.59961
5/9/2017,10933.90039
5/10/2017,9335.269531
5/11/2017,6242.52002
5/12/2017,9289.889648
5/13/2017,9568.509766
5/14/2017,11563.7002
5/15/2017,11685.0
5/16/2017,7568.279785
5/17/2017,5824.299805
5/18/2017,6117.279785
5/19/2017,6184.899902
5/20/2017,6068.830078
5/21/2017,7645.509765999999
5/22/2017,7519.25
5/23/2017,8109.580078
5/24/2017,8440.040039
5/25/2017,7792.859863
5/26/2017,7251.839844
5/27/2017,7312.509765999999
5/28/2017,7104.640137
5/29/2017,7198.740234000001
5/30/2017,7406.129883
5/31/2017,7140.459961
6/1/2017,7480.7130372
6/2/2017,9992.040039
6/3/2017,6179.890136999999
6/4/2017,6627.22998
6/5/2017,7976.350098000001
6/6/2017,7869.140137
6/7/2017,6685.779785
6/8/2017,8533.740234
6/9/2017,11089.59961
6/10/2017,8570.9360357
6/11/2017,12209.2002
6/12/2017,8975.080078
6/13/2017,7644.890137
6/14/2017,7633.850098000001
6/15/2017,7091.72998
6/16/2017,7246.819823999999
6/17/2017,8244.099609
6/18/2017,8241.360352
6/19/2017,7357.740234000001
6/20/2017,7641.959961
6/21/2017,10884.09961
6/22/2017,12622.0
6/23/2017,7264.890137
6/24/2017,7342.870117
6/25/2017,7520.220215
6/26/2017,10418.09961
6/27/2017,13021.5
6/28/2017,12748.0
6/29/2017,12562.2002
6/30/2017,12045.40039
7/1/2017,12878.90039
7/2/2017,11574.5
7/3/2017,12045.5
7/4/2017,12486.59961
7/5/2017,12716.59961
7/6/2017,12025.0
7/7/2017,11511.7002
7/8/2017,12497.0
7/9/2017,11019.0480474
7/10/2017,10618.0690434
7/11/2017,13053.40039
7/12/2017,12632.40039
7/13/2017,9102.669922
7/14/2017,6593.470215
7/15/2017,7571.640137
7/16/2017,8476.80957
7/17/2017,8412.049805
7/18/2017,7315.879883
7/19/2017,8056.839844
7/20/2017,7852.040039
7/21/2017,8177.970215
7/22/2017,8419.870117
7/23/2017,8507.669922
7/24/2017,8083.049805
7/25/2017,7028.839844
7/26/2017,7069.0
7/27/2017,7256.089844
7/28/2017,7760.689941
7/29/2017,8227.30957
7/30/2017,7253.629883
7/31/2017,6935.160156
8/1/2017,7777.200195
8/2/2017,7775.47998
8/3/2017,7269.620117
8/4/2017,8104.040039
8/5/2017,7593.490234000001
8/6/2017,7978.709961
8/7/2017,8472.75
8/8/2017,7685.600098000001
8/9/2017,7017.27002
8/10/2017,7095.890137
8/11/2017,7500.52002
8/12/2017,7919.240234000001
8/13/2017,8648.820313
8/14/2017,8711.389648
8/15/2017,10036.0
8/16/2017,8387.25
8/17/2017,7518.859863
8/18/2017,7762.959961
8/19/2017,9092.150391
8/20/2017,8611.360352
8/21/2017,7618.189941
8/22/2017,7795.080078
8/23/2017,7601.390137
8/24/2017,7961.140137
8/25/2017,7715.330078
8/26/2017,7644.459961
8/27/2017,7046.299805
8/28/2017,7317.040039
8/29/2017,8947.769531
8/30/2017,8302.849609
8/31/2017,8074.879883
9/1/2017,9104.610352
9/2/2017,9237.849609
9/3/2017,9339.040039
9/4/2017,9106.419922
9/5/2017,7956.089844
9/6/2017,8422.290039
9/7/2017,8055.810059
9/8/2017,6328.439941
9/9/2017,6137.669922
9/10/2017,6550.700195
9/11/2017,8536.780273
9/12/2017,9606.110352
9/13/2017,8502.799805
9/14/2017,7890.27002
9/15/2017,7807.410156
9/16/2017,7069.430176000001
9/17/2017,8263.120117
9/18/2017,7894.700195
9/19/2017,7778.990234000001
9/20/2017,8177.009765999999
9/21/2017,7350.569823999999
9/22/2017,7656.580078
9/23/2017,8230.980469
9/24/2017,8157.410156
9/25/2017,8563.139648
9/26/2017,8863.929688
9/27/2017,8475.990234
9/28/2017,8066.580078
9/29/2017,8231.259766
9/30/2017,7535.049805
10/1/2017,7114.549805
10/2/2017,6901.370117
10/3/2017,7114.930176000001
10/4/2017,7055.959961
10/5/2017,5902.419922
10/6/2017,6639.069824
10/7/2017,7917.390137
